condition,seed,basin,NSE
C_graph_messages,42,01057000,0.7519968807181079
C_graph_messages,42,01078000,0.7264811354709475
C_graph_messages,42,01134500,0.6674637448892032
C_graph_messages,42,01137500,0.6210508457560882
C_graph_messages,42,01139000,0.6709322848831526
C_graph_messages,42,01139800,0.4646244083054912
C_graph_messages,42,01142500,0.6370916918547993
C_graph_messages,42,01144000,0.6668359255919398
C_graph_messages,42,01169000,0.5983133134948867
C_graph_messages,42,01181000,0.5709070594159189
C_graph_messages,42,01187300,0.6085984412018868
C_graph_messages,42,01333000,0.5656821706018573
C_graph_messages,42,01350000,0.6752410475027439
C_graph_messages,42,01350080,0.4341753304600679
C_graph_messages,42,01350140,0.3722246381769849
C_graph_messages,42,01365000,0.7010035173689402
C_graph_messages,42,01411300,-0.0320770058922539
C_graph_messages,42,01413500,0.5616140589950783
C_graph_messages,42,01414500,0.5699204307127294
C_graph_messages,42,01415000,0.6560265781594226
C_graph_messages,42,01423000,0.6144368207171578
C_graph_messages,42,01434025,0.4088217507001815
C_graph_messages,42,01435000,0.6284384480207801
C_graph_messages,42,01439500,0.7233485138806353
C_graph_messages,42,01440000,0.7582108125393456
C_graph_messages,42,01440400,0.6587980690080554
C_graph_messages,42,01451800,0.7658474232108083
C_graph_messages,42,01466500,-0.5675229664145833
C_graph_messages,42,01484100,0.1856484051116028
C_graph_messages,42,01485500,0.6649546397111482
C_graph_messages,42,01487000,0.5238551190292393
C_graph_messages,42,01491000,0.7354870458156315
C_graph_messages,42,01510000,0.6177857269871392
C_graph_messages,42,01516500,0.535109290087929
C_graph_messages,42,01518862,0.4818926705951759
C_graph_messages,42,01532000,0.6697587098952894
C_graph_messages,42,01539000,0.5733807655915606
C_graph_messages,42,01542810,0.566182227471105
C_graph_messages,42,01543000,0.7122262804574657
C_graph_messages,42,01543500,0.7122075455908636
C_graph_messages,42,01544500,0.578901702704187
C_graph_messages,42,01545600,0.4460903002716077
C_graph_messages,42,01547700,0.6120212192973573
C_graph_messages,42,01548500,0.6227456687872347
C_graph_messages,42,01549500,0.5867886045596655
C_graph_messages,42,01550000,0.6491719561782741
C_graph_messages,42,01552000,0.6976010649623787
C_graph_messages,42,01552500,0.6353896582611815
C_graph_messages,42,01557500,0.6125903133015587
C_graph_messages,42,01567500,0.6642226104109779
C_graph_messages,42,01568000,0.7470644660567719
C_graph_messages,42,01580000,0.5103347542387258
C_graph_messages,42,01583500,0.3294472120441619
C_graph_messages,42,01586610,0.4169703118784
C_graph_messages,42,01591400,0.4602014953558611
C_graph_messages,42,01594950,0.7184616378170774
C_graph_messages,42,01596500,0.6459225640586066
C_graph_messages,42,01605500,0.5456693724264792
C_graph_messages,42,01606500,0.5351537298964573
C_graph_messages,42,01613050,0.5885381920195645
C_graph_messages,42,01620500,0.5074275408391538
C_graph_messages,42,01632000,0.3992756373762081
C_graph_messages,42,01632900,0.2399188710879898
C_graph_messages,42,01634500,0.4503949480237336
C_graph_messages,42,01638480,0.3721157723521477
C_graph_messages,42,01639500,0.5296937052187605
C_graph_messages,42,01644000,0.5935061566893569
C_graph_messages,42,01658500,0.3329176023270138
C_graph_messages,42,01664000,0.6533828081821483
C_graph_messages,42,01666500,0.5218916431110241
C_graph_messages,42,01667500,0.6042559753005889
C_graph_messages,42,01669000,0.3949291194998917
C_graph_messages,42,01669520,0.518925570611406
C_graph_messages,42,02011400,0.6392228571463588
C_graph_messages,42,02011460,0.5269200291491695
C_graph_messages,42,02013000,0.6362815514411301
C_graph_messages,42,02014000,0.6670547063158181
C_graph_messages,42,02015700,0.6495012009724952
C_graph_messages,42,02016000,0.7343350172276806
C_graph_messages,42,02017500,0.6911182477882852
C_graph_messages,42,02018000,0.6188359347260538
C_graph_messages,42,02027000,0.4513390681368424
C_graph_messages,42,02027500,0.4564009847131661
C_graph_messages,42,02028500,0.5219386153858363
C_graph_messages,42,02038850,0.4427021443509567
C_graph_messages,42,02046000,0.6586908235575543
C_graph_messages,42,02051000,0.4092648455502725
C_graph_messages,42,02051500,0.520240914294467
C_graph_messages,42,02053200,0.3327088158871895
C_graph_messages,42,02053800,0.4506617822660885
C_graph_messages,42,02055100,0.5783056260119004
C_graph_messages,42,02056900,0.6119147290521244
C_graph_messages,42,02059500,0.1498920620650283
C_graph_messages,42,02064000,0.5170461484637571
C_graph_messages,42,02065500,0.1743233177342424
C_graph_messages,42,02069700,0.2821945797298988
C_graph_messages,42,02070000,0.3674204266122234
C_graph_messages,42,02074500,0.2836785565733171
C_graph_messages,42,02077200,0.4700275697795485
C_graph_messages,42,02081500,0.573403169801494
C_graph_messages,42,02082950,0.2363908473643395
C_graph_messages,42,02096846,0.2864822968795192
C_graph_messages,42,02111180,0.3084944129196919
C_graph_messages,42,02111500,0.360234780599262
C_graph_messages,42,02112120,0.2278956992992229
C_graph_messages,42,02112360,0.436834407153742
C_graph_messages,42,02118500,0.4028068128050451
C_graph_messages,42,02125000,0.4273167841809628
C_graph_messages,42,02128000,0.3769552192073834
C_graph_messages,42,02137727,0.5289085082395844
C_graph_messages,42,02140991,0.4581718890658397
C_graph_messages,42,02143000,0.4696213402897841
