seed,basin,A_baseline,B_topology_features,C_graph_messages,B_minus_A,C_minus_A,C_minus_B
42,01606500,0.6664084494113922,0.5675836660101455,0.5351537298964573,-0.09882478340124667,-0.13125471951493495,-0.032429936113688274
42,01613050,0.6480021476745605,0.6501343095819312,0.5885381920195645,0.0021321619073706444,-0.05946395565499607,-0.061596117562366715
42,01620500,0.309487521648407,0.548473938568261,0.5074275408391538,0.238986416919854,0.19794001919074677,-0.04104639772910723
42,01632000,0.5023678839206696,0.3490729119313747,0.3992756373762081,-0.15329497198929487,-0.10309224654446147,0.050202725444833396
42,01632900,0.4547831416130066,0.3904175306624881,0.2399188710879898,-0.06436561095051851,-0.2148642705250168,-0.1504986595744983
42,01634500,0.5465401709079742,0.4731132479427711,0.4503949480237336,-0.07342692296520315,-0.09614522288424066,-0.02271829991903751
42,01638480,0.6250276267528534,0.3162330142818578,0.3721157723521477,-0.3087946124709956,-0.2529118544007057,0.05588275807028992
42,01639500,0.669295608997345,0.4788235547885435,0.5296937052187605,-0.19047205420880148,-0.1396019037785845,0.050870150430216976
42,01644000,0.729272186756134,0.5862556036229398,0.5935061566893569,-0.1430165831331942,-0.13576603006677712,0.007250553066417087
42,01658500,0.5078337788581848,0.348975911649213,0.3329176023270138,-0.15885786720897183,-0.17491617653117103,-0.016058309322199205
42,01664000,0.6679829657077789,0.635545433722809,0.6533828081821483,-0.0324375319849699,-0.014600157525630597,0.017837374459339306
42,01666500,0.4735898375511169,0.4638224349018059,0.5218916431110241,-0.009767402649310974,0.04830180555990721,0.05806920820921818
42,01667500,0.6014082133769989,0.5401127536838399,0.6042559753005889,-0.06129545969315897,0.002847761923590042,0.06414322161674901
42,01669000,0.5922693312168121,0.6421128147127337,0.3949291194998917,0.0498434834959216,-0.19734021171692046,-0.24718369521284206
42,01669520,0.6672232151031494,0.5699062207045608,0.518925570611406,-0.09731699439858865,-0.14829764449174343,-0.05098065009315478
42,02011400,0.7189528346061707,0.7280363305111184,0.6392228571463588,0.009083495904947725,-0.07972997745981181,-0.08881347336475953
42,02011460,0.7082661986351013,0.6367569211136266,0.5269200291491695,-0.07150927752147473,-0.18134616948593185,-0.10983689196445712
42,02013000,0.567242443561554,0.6584742689638068,0.6362815514411301,0.09123182540225283,0.06903910787957612,-0.022192717522676708
42,02014000,0.6385309398174286,0.6692674381884576,0.6670547063158181,0.030736498371028986,0.028523766498389502,-0.002212731872639484
42,02015700,0.7211828231811523,0.6647399992653078,0.6495012009724952,-0.05644282391584454,-0.07168162220865715,-0.015238798292812605
42,02016000,0.7508107274770737,0.7016931953328229,0.7343350172276806,-0.04911753214425074,-0.016475710249393094,0.03264182189485765
42,02017500,0.6863970160484314,0.7015774424124208,0.6911182477882852,0.015180426363989419,0.004721231739853837,-0.010459194624135582
42,02018000,0.5931963324546814,0.6925414724248418,0.6188359347260538,0.09934513997016037,0.025639602271372408,-0.07370553769878796
42,02027000,0.5703352391719818,0.4644327963454142,0.4513390681368424,-0.10590244282656763,-0.11899617103513943,-0.013093728208571798
42,02027500,0.616698682308197,0.4945951661639589,0.4564009847131661,-0.12210351614423814,-0.16029769759503093,-0.038194181450792786
42,02028500,0.6153525710105896,0.5143203546827987,0.5219386153858363,-0.10103221632779091,-0.0934139556247533,0.007618260703037616
42,02038850,0.5396011173725128,0.4918644897292389,0.4427021443509567,-0.04773662764327391,-0.09689897302155615,-0.049162345378282235
42,02046000,0.6040696203708649,0.6859752329861292,0.6586908235575543,0.0819056126152643,0.05462120318668939,-0.027284409428574907
42,02051000,0.4455887675285339,0.4536248658855488,0.4092648455502725,0.00803609835701491,-0.0363239219782614,-0.04436002033527631
42,02051500,0.6321751177310944,0.561388778460718,0.520240914294467,-0.07078633927037636,-0.11193420343662741,-0.04114786416625105
42,02053200,0.4149272441864013,0.5105650649812947,0.3327088158871895,0.09563782079489341,-0.08221842829921183,-0.17785624909410525
42,02053800,0.0646262168884277,0.664324172430247,0.4506617822660885,0.5996979555418193,0.3860355653776608,-0.2136623901641585
42,02055100,0.6119420528411865,0.5741610269868452,0.5783056260119004,-0.03778102585434129,-0.03363642682928614,0.004144599025055151
42,02056900,0.4625748991966247,0.6214202230029505,0.6119147290521244,0.15884532380632582,0.1493398298554997,-0.009505493950826116
42,02059500,0.3798756003379822,0.2524015639584206,0.1498920620650283,-0.12747403637956156,-0.22998353827295387,-0.10250950189339231
42,02064000,0.6691975593566895,0.5826417414019751,0.5170461484637571,-0.08655581795471434,-0.15215141089293238,-0.06559559293821804
42,02065500,0.2602453827857971,0.1603480986461642,0.1743233177342424,-0.09989728413963292,-0.08592206505155472,0.013975219088078195
42,02069700,0.298758327960968,0.3953675028072043,0.2821945797298988,0.09660917484623627,-0.01656374823106921,-0.11317292307730548
42,02070000,0.4665884375572204,0.4441106094361977,0.3674204266122234,-0.022477828121022725,-0.099168010944997,-0.07669018282397427
42,02074500,0.3994359970092773,0.3563285943129807,0.2836785565733171,-0.04310740269629659,-0.1157574404359602,-0.07265003773966361
42,02077200,0.4814932942390442,0.4989228628364069,0.4700275697795485,0.01742956859736272,-0.011465724459495674,-0.028895293056858395
42,02081500,0.6485084593296051,0.5179140186416139,0.573403169801494,-0.1305944406879912,-0.07510528952811113,0.05548915115988007
42,02082950,0.4750838279724121,0.3649569631086256,0.2363908473643395,-0.11012686486378653,-0.23869298060807262,-0.12856611574428609
42,02096846,0.5039719045162201,0.3260995584021163,0.2864822968795192,-0.1778723461141038,-0.2174896076367009,-0.03961726152259709
42,02111180,0.4747900366783142,0.4106372047591811,0.3084944129196919,-0.06415283191913312,-0.16629562375862234,-0.10214279183948921
42,02111500,0.4393893480300903,0.4054700123843039,0.360234780599262,-0.033919335645786364,-0.07915456743082827,-0.04523523178504191
42,02112120,0.2437905669212341,0.1853203111337724,0.2278956992992229,-0.058470255787461706,-0.0158948676220112,0.042575388165450506
42,02112360,0.309937834739685,0.4499893798028239,0.436834407153742,0.14005154506313888,0.126896572414057,-0.013154972649081886
42,02118500,0.4800078272819519,0.4238892980780155,0.4028068128050451,-0.056118529203936396,-0.0772010144769068,-0.021082485272970408
42,02125000,0.7236080467700958,0.4608649379308337,0.4273167841809628,-0.2627431088392621,-0.296291262589133,-0.03354815374987091
42,02128000,0.5037972629070282,0.3966759679949506,0.3769552192073834,-0.10712129491207761,-0.1268420436996448,-0.01972074878756719
42,02137727,0.5892747342586517,0.5532840256355358,0.5289085082395844,-0.03599070862311593,-0.06036622601906738,-0.02437551739595145
42,02140991,0.4921512603759765,0.5094693794920828,0.4581718890658397,0.017318119116106312,-0.033979371310136786,-0.0512974904262431
42,02143000,0.542466551065445,0.5624655666957001,0.4696213402897841,0.01999901563025519,-0.07284521077566086,-0.09284422640591605
42,02143040,0.5291719138622284,0.5849171671659397,0.5264545437464241,0.05574525330371127,-0.0027173701158043073,-0.05846262341951558
42,02149000,0.4360054731369018,0.3930519725746015,0.3266218091170548,-0.042953500562300295,-0.109383664019847,-0.06643016345754671
42,02152100,0.4728371500968933,0.4646115147542461,0.4303716738767502,-0.008225635342647197,-0.04246547622014313,-0.03423984087749593
42,02177000,0.4773218631744385,0.5155838033288941,0.5441980209849305,0.03826194015445561,0.06687615781049205,0.028614217656036445
42,02178400,0.6020056903362274,0.6354350614286446,0.6026364630568907,0.03342937109241717,0.000630772720663253,-0.03279859837175392
