contrast,metric,seed,basin,delta
L_minus_G,NSE,11,02056900,-0.08802459790014239
L_minus_G,NSE,11,01516500,0.08913642019824475
L_minus_G,NSE,11,03213700,0.08730714454167376
L_minus_G,NSE,11,01547700,0.09430178627775443
L_minus_G,NSE,11,01485500,0.02308698537770182
L_minus_G,NSE,11,01632900,-0.013029188913477263
L_minus_G,NSE,11,02027000,0.11498576475809075
L_minus_G,NSE,11,01078000,0.04490533623515669
L_minus_G,NSE,11,03049800,-0.059958891223097166
L_minus_G,NSE,11,01606500,0.05926390063684406
L_minus_G,NSE,11,02065500,-0.12943141292754845
L_minus_G,NSE,11,03164000,0.11244994587979518
L_minus_G,NSE,11,02137727,-0.005052362537229738
L_minus_G,NSE,11,03498500,0.1059113116679542
L_minus_G,NSE,11,02069700,0.128982485028314
L_minus_G,NSE,11,03463300,-0.14273367392287628
L_minus_G,NSE,11,03173000,0.006910163167376027
L_minus_G,NSE,11,01532000,0.043888091821812525
L_minus_G,NSE,11,03186500,0.049136115282896964
L_minus_G,NSE,11,03488000,-0.43726316601465753
L_minus_G,NSE,11,01557500,0.02461577627993583
L_minus_G,NSE,11,01658500,0.1821175003715092
L_minus_G,NSE,11,01596500,0.04095782028463446
L_minus_G,NSE,11,01644000,0.09911933471688394
L_minus_G,NSE,11,04213000,0.06805130242927959
L_minus_G,NSE,11,01487000,-0.11124567885724979
L_minus_G,NSE,11,01669000,-0.0800248676942018
L_minus_G,NSE,11,01142500,0.08801638220418573
L_minus_G,NSE,11,04105700,0.3680335739596261
L_minus_G,NSE,11,01413500,0.08565018708563554
L_minus_G,NSE,11,01613050,-0.04381618887496752
L_minus_G,NSE,11,03076600,0.02296656576787348
L_minus_G,NSE,11,01423000,0.20477903271063358
L_minus_G,NSE,11,01411300,-0.08663710493973342
L_minus_G,NSE,11,01139800,0.08123482580485009
L_minus_G,NSE,11,01605500,0.1871693877410634
L_minus_G,NSE,11,03066000,0.002238745445779622
L_minus_G,NSE,11,03069500,0.09072617718775566
L_minus_G,NSE,11,03473000,0.09417466619485182
