basin,L__NSE,L__KGE,L__logNSE,G__NSE,G__KGE,G__logNSE,G+T__NSE,G+T__KGE,G+T__logNSE,G+M__NSE,G+M__KGE,G+M__logNSE,G+T+M__NSE,G+T+M__KGE,G+T+M__logNSE
01644000,0.7434206247228247,0.7244740420487682,0.4686399126973357,0.608485134185736,0.6196641052367617,,0.539102422238347,0.5751960707141842,,0.61377919971313,0.6577036952485622,,0.563322400551426,0.6600859122579309,
04213000,0.5747962271869971,0.7539113987460007,0.7148835803089405,0.5920576823916706,0.14983267468747782,0.4391839131853145,0.615486686178034,0.3370578599467485,0.48403902950239724,0.5923974649682932,0.2809338217596978,0.45940736215573946,0.6088993538410269,0.36583198129728106,0.48266789312958797
01487000,0.5027451492386407,0.6260974054112021,0.607335390807564,0.5780125268934296,0.6811056715879035,,0.5511515535401914,0.6276190392670782,,0.532322685634961,0.668631972105101,,0.5053462699402695,0.6466611785001039,
01669000,0.5035673324148696,0.6285076001914277,0.4574322869815783,0.5845712750637522,0.6208711189721753,,0.6125765666426616,0.6386214247483394,,0.4593344898442326,0.6586075274386819,,0.42618551326437143,0.6636030205995839,
01142500,0.6635357282962454,0.660693365739686,0.7711801913473325,0.6014600046032303,0.27563560928312886,0.4883731848552664,0.6122024407159669,0.3168013165519302,0.5008023687971673,0.6377780871043311,0.3159304528547584,0.5143977919889441,0.6747281688301919,0.3947019597756502,0.5445064216214597
04105700,-0.5355440859911796,0.27908693358451714,0.5601408219149998,-0.18337249399125413,0.376711542458166,,-0.11473762599356592,0.40636003973556517,,0.1741291261314908,0.47178301493665037,,0.2309548039539889,0.5175109872473788,
01413500,0.6199450468513451,0.7428022656507306,0.7914341966673325,0.6056593544089063,0.6454643385611227,0.649630320682066,0.609250039731723,0.6035684073268142,0.6273224792260753,0.5962140446118226,0.6931256950322547,0.6557422647688921,0.5693832886210781,0.6286840475163534,0.6542464655386965
01613050,0.6293255979276574,0.7065422011205352,0.620596846947565,0.6551363618833651,0.6911343062353704,,0.6589940671615143,0.6418082195584319,,0.5879668398085846,0.6757256447353076,,0.5855663965577155,0.6246229901518083,
03076600,0.6730546513934749,0.7700314013340938,0.7684139866778371,0.6800107168610016,0.2509240118583306,0.6858588692123281,0.6934107793407586,0.4146676890912396,0.6725955177805414,0.6602014597095864,0.298773091044584,0.6723263383390238,0.6823523940097277,0.3300445098666387,0.6343709897246075
01423000,0.8254208810217412,0.8716993113631663,0.8524611923661917,0.6314800997017099,0.6273430623533066,0.584833104575646,0.6274515335854665,0.6605098330913061,0.6179732007694584,0.6734321010735548,0.7469118865706186,0.6106284939473706,0.6656939725220055,0.7319350991658102,0.609029763444089
01411300,-0.10250502938740873,0.43719602618135917,0.5609301785665299,-0.27991588392096656,0.2600321908100233,,-0.19158196089884885,0.2783561330841336,,-0.20463547097875398,0.2604648394709091,,0.08310354183725426,0.3994024134732646,
01139800,0.6649065561632536,0.6683103068983298,0.7606636415079305,0.6060240303313532,0.27578100580702475,0.4306174331310026,0.5968159262490891,0.33929212142687426,0.3883977222429758,0.44762973821823104,0.21873850592789615,0.26333604922629344,0.5354433663208695,0.3043363411397144,0.3119220625345455
01605500,0.6453821877084439,0.5509751247479479,0.7056329532721414,0.531300027016192,0.4067174785022125,,0.5528124270801059,0.47357617605049757,,0.5132057196852952,0.48724787458880076,,0.5138650954141617,0.5252902989299221,
03066000,0.7141594246515423,0.8359048836913866,0.8116899873866109,0.7162402715318811,0.6667087058001712,0.6791283046250606,0.7043838808810374,0.6860568864387698,0.6756052510898277,0.7003569314047983,0.6336226550672772,0.6169390639771287,0.7106154930228561,0.7059507045641423,0.6205330534054777
03069500,0.8630078280848493,0.8743700368444333,0.8570984623975306,0.7704658908657648,0.733558300258968,0.7237669439150897,0.7787832812359462,0.7399159602996157,0.7166307304696153,0.7930638925916264,0.736053743241217,0.7111567919966998,0.7915708268107678,0.7415011044153097,0.700236412900786
03473000,0.687621944640322,0.7729664332679059,0.7395636160189575,0.6006799646031878,0.644427488286765,,0.5999345784067109,0.6301960093635924,,0.5276196876820388,0.6232483953039245,,0.534177365445664,0.6572524815399808,
02081500,0.6057659557617919,0.6038179544964856,0.3222082601429083,0.49434634387556375,0.6760638622081148,,0.5062122614819825,0.6706788456246038,,0.5596812446160592,0.7166976806600341,,0.5590647821444987,0.7433401405905982,
01634500,0.4585958102398689,0.5714433742657837,0.4400855928997062,0.4897473475998053,0.6290088954428542,,0.4805271899529779,0.6377486808488749,,0.45690316519978896,0.6588310172053725,,0.4420500884385595,0.6704263053921778,
01439500,0.7560459613295483,0.7235859072294518,0.812190896555717,0.7349701571935595,0.679024462978551,0.6150023109630155,0.7502814259831506,0.6451760001861524,0.6246694708280464,0.78461113020209,0.7477348934232207,0.6869825117491466,0.7802577957381683,0.7405930954396217,0.6615682917127187
