condition,seed,basin,metric,value
L,11,01491000,KGE,0.7826001426721256
L,11,01491000,logNSE,0.4973710510660434
L,11,01510000,NSE,0.756992480210991
L,11,01510000,KGE,0.7645081311296484
L,11,01510000,logNSE,0.7965780480245191
L,11,01516500,NSE,0.6605649272307323
L,11,01516500,KGE,0.6717475314764283
L,11,01516500,logNSE,0.5641055216600945
L,11,01518862,NSE,0.7631824974365597
L,11,01518862,KGE,0.8069627128000192
L,11,01518862,logNSE,0.661125921930544
L,11,01532000,NSE,0.7604309935474596
L,11,01532000,KGE,0.83485084824288
L,11,01532000,logNSE,0.7110338280398318
L,11,01539000,NSE,0.6792969046429409
L,11,01539000,KGE,0.6213990561929841
L,11,01539000,logNSE,0.7907902130030897
L,11,01542810,NSE,0.6673820805686506
L,11,01542810,KGE,0.7240962905955426
L,11,01542810,logNSE,0.6900083232144915
L,11,01543000,NSE,0.8072010276185968
L,11,01543000,KGE,0.7628328273531184
L,11,01543000,logNSE,0.7681790627790839
L,11,01543500,NSE,0.8417190318156118
L,11,01543500,KGE,0.8552700031685145
L,11,01543500,logNSE,0.7096636169141215
L,11,01544500,NSE,0.8016426243284537
L,11,01544500,KGE,0.8383225861696565
L,11,01544500,logNSE,0.6700894917675935
L,11,01545600,NSE,0.7240640948473146
L,11,01545600,KGE,0.7704610450430083
L,11,01545600,logNSE,0.5964586529085603
L,11,01547700,NSE,0.7370437742036728
L,11,01547700,KGE,0.6946705886758611
L,11,01547700,logNSE,0.6547825906536293
L,11,01548500,NSE,0.8180081987113089
L,11,01548500,KGE,0.8141347744681247
L,11,01548500,logNSE,0.7292841381135788
L,11,01549500,NSE,0.6834655822665594
L,11,01549500,KGE,0.7219616127597739
L,11,01549500,logNSE,0.5823831609948711
L,11,01550000,NSE,0.740152024431989
L,11,01550000,KGE,0.7774524861637973
L,11,01550000,logNSE,0.6764229097183798
L,11,01552000,NSE,0.8077893212234473
L,11,01552000,KGE,0.7878129647814162
L,11,01552000,logNSE,0.781216752535421
L,11,01552500,NSE,0.7345492195177538
L,11,01552500,KGE,0.7374886780810797
L,11,01552500,logNSE,0.7673830402745725
L,11,01557500,NSE,0.7442720274744494
L,11,01557500,KGE,0.7943468643947513
L,11,01557500,logNSE,0.7326627166922834
L,11,01567500,NSE,0.6340132544241928
L,11,01567500,KGE,0.7980269076977147
L,11,01567500,logNSE,0.6574103154204409
L,11,01568000,NSE,0.8149260539986538
L,11,01568000,KGE,0.782559981619247
L,11,01568000,logNSE,0.7294658387588309
L,11,01580000,NSE,0.7843458624468354
L,11,01580000,KGE,0.8506321001447169
L,11,01580000,logNSE,0.6357172950436093
L,11,01583500,NSE,0.5861792990558203
L,11,01583500,KGE,0.6945577236863556
L,11,01583500,logNSE,0.4467279775165921
L,11,01586610,NSE,0.31450588664999757
L,11,01586610,KGE,0.6110087549582399
L,11,01586610,logNSE,0.538991155082122
L,11,01591400,NSE,0.5742625215194179
L,11,01591400,KGE,0.6995073419330597
L,11,01591400,logNSE,0.46296544703670606
L,11,01594950,NSE,0.7395490588016231
L,11,01594950,KGE,0.8407319847900908
L,11,01594950,logNSE,0.6780603137699512
L,11,01596500,NSE,0.78811104750423
L,11,01596500,KGE,0.7929369593716317
L,11,01596500,logNSE,0.7498077605985537
L,11,01605500,NSE,0.7135011261010717
L,11,01605500,KGE,0.5830456087887927
L,11,01605500,logNSE,0.6257872053737121
L,11,01606500,NSE,0.6824196789304107
L,11,01606500,KGE,0.6705464812178842
L,11,01606500,logNSE,0.6194896273807401
L,11,01613050,NSE,0.6280722052071506
L,11,01613050,KGE,0.6629003581760556
L,11,01613050,logNSE,0.5580149190484545
L,11,01620500,NSE,0.11415770292563765
L,11,01620500,KGE,0.5707920626845266
L,11,01620500,logNSE,0.538331023344925
L,11,01632000,NSE,0.36654888111556894
L,11,01632000,KGE,0.4583554728680199
L,11,01632000,logNSE,0.21120560106734876
L,11,01632900,NSE,0.3899453076208462
L,11,01632900,KGE,0.4787843645813281
L,11,01632900,logNSE,0.15883589118116648
L,11,01634500,NSE,0.467679359711782
L,11,01634500,KGE,0.5008353208047343
L,11,01634500,logNSE,0.27385092385091114
L,11,01638480,NSE,0.544181661540357
L,11,01638480,KGE,0.5592227375203878
L,11,01638480,logNSE,0.19740180843473043
L,11,01639500,NSE,0.6613097252717126
L,11,01639500,KGE,0.6566262416513957
L,11,01639500,logNSE,0.5618556754917867
L,11,01644000,NSE,0.7336500960029693
L,11,01644000,KGE,0.6571958631920597
L,11,01644000,logNSE,0.2497060969701993
L,11,01658500,NSE,0.5441920429026816
L,11,01658500,KGE,0.5780577000595898
L,11,01658500,logNSE,0.22391517154604734
L,11,01664000,NSE,0.7221640395777784
L,11,01664000,KGE,0.6752046184971797
L,11,01664000,logNSE,0.37285738707316807
L,11,01666500,NSE,0.4699807001676033
L,11,01666500,KGE,0.5927472096855393
L,11,01666500,logNSE,0.4389667986241532
L,11,01667500,NSE,0.5930025109938167
L,11,01667500,KGE,0.6071570619960385
L,11,01667500,logNSE,0.44508775692253677
L,11,01669000,NSE,0.527980967959515
L,11,01669000,KGE,0.6061111619612362
L,11,01669000,logNSE,0.3858996874204733
